time,text_tokens,total_consumed_tokens,total_loss,reduced_llm_loss,reduced_balancing_loss,loss,maxvio,efficient_attn_ratio,grad_norm,max_memory_GB,reserved_memory_GB,tgs,e2e_tgs
77.2881,43414.0,43414.0,1.29860771,1.22344971,0.07515795,0.00821481,5.20212889,0.39964283,2.26782155,35.97,41.37,561.7,555.8
10.3374,48470.0,91884.0,1.29391038,1.21500766,0.07890275,0.00923116,5.81832409,0.48511818,2.30171013,38.89,43.54,4688.8,1038.8
10.1457,33600.0,125484.0,1.26501894,1.18438923,0.08062965,0.00836917,6.06501007,0.50032234,2.36890268,38.31,43.54,3311.8,1272.7
10.2183,49435.0,174919.0,1.30257225,1.22371399,0.07885812,0.01031713,5.87144947,0.49836093,2.25845790,38.98,44.20,4837.9,1607.4
10.2081,47503.0,222422.0,1.28874660,1.21032286,0.07842380,0.01185360,5.77055359,0.47368973,2.13075733,38.79,44.20,4653.5,1868.6
10.0679,48278.0,270700.0,1.30051780,1.22245502,0.07806282,0.00981367,5.73146820,0.48268417,1.85801899,38.87,44.20,4795.3,2096.8
10.0175,33600.0,304300.0,1.28497088,1.20536375,0.07960712,0.00880940,5.94361067,0.50032234,1.82337904,38.31,44.20,3354.1,2187.3
9.9271,37356.0,341656.0,1.25578082,1.17706895,0.07871174,0.01087398,5.81120110,0.45086047,1.51009405,38.31,44.20,3763.0,2292.2
9.9225,33600.0,375256.0,1.22902334,1.15025711,0.07876628,0.00898779,5.83756018,0.50032234,1.40140188,38.31,44.20,3386.3,2360.5
9.7029,41409.0,416665.0,1.23433995,1.15800548,0.07633448,0.01097868,5.48747396,0.44098440,1.15355253,38.31,44.20,4267.7,2470.1
9.8619,56984.0,473649.0,1.23009694,1.15670407,0.07339270,0.00838551,5.40978384,0.40927818,2.23084545,39.75,45.27,5778.2,2652.8
9.7466,43538.0,517187.0,1.20898986,1.13650024,0.07248957,0.00815562,5.29201698,0.44451818,2.01857471,38.39,45.27,4467.0,2746.7
9.9283,33601.0,550788.0,1.21065366,1.13751805,0.07313550,0.00685165,5.38536787,0.50032312,1.91432440,38.31,45.27,3384.4,2778.6
9.8495,45526.0,596314.0,1.18201792,1.11193275,0.07008522,0.00967341,5.09963894,0.45334092,1.63888586,38.59,45.27,4622.1,2865.8
9.7492,43199.0,639513.0,1.19735610,1.12964392,0.06771221,0.01203986,4.81094742,0.44338056,1.71802926,38.35,45.27,4431.0,2935.8
10.0606,48571.0,688084.0,1.19056177,1.12432957,0.06623215,0.01041890,4.69429493,0.48642305,1.68081415,38.90,45.27,4827.9,3019.3
9.9405,33600.0,721684.0,1.15794706,1.09175944,0.06618749,0.00706022,4.68246078,0.50032234,1.29406250,38.31,45.27,3380.1,3034.3
9.8256,36222.0,757906.0,1.18492222,1.12099731,0.06392502,0.00879510,4.41603088,0.46772161,0.87292755,38.31,45.27,3686.5,3060.1
9.9253,33600.0,791506.0,1.16856813,1.10510778,0.06346034,0.00885798,4.28626728,0.50032234,0.97769397,38.31,45.27,3385.3,3072.6
10.0260,48098.0,839604.0,1.13411617,1.07180202,0.06231430,0.00664152,4.09061003,0.48047823,0.78175884,38.85,45.27,4797.3,3137.2
9.6349,54269.0,893873.0,1.15053678,1.08899319,0.06154346,0.00704879,3.96986270,0.39884126,0.69713813,39.47,45.27,5632.5,3223.9
9.4618,46365.0,940238.0,1.15843451,1.09768879,0.06074559,0.00913052,3.70332861,0.38663226,0.64830524,38.67,45.27,4900.3,3279.1
9.9355,46880.0,987118.0,1.13639545,1.07613528,0.06026018,0.00821706,3.75592017,0.46707398,0.62768030,38.72,45.27,4718.4,3327.3
9.9295,33600.0,1020718.0,1.14765012,1.08766448,0.05998576,0.01010054,3.67318606,0.50032234,0.59456372,38.31,45.27,3383.9,3329.1
9.8847,58059.0,1078777.0,1.15670335,1.09772098,0.05898254,0.00920040,3.52611613,0.43216294,0.54494643,39.86,45.37,5873.7,3408.5
9.9323,33595.0,1112372.0,1.15140128,1.09290457,0.05849674,0.01241794,3.37246776,0.50031847,0.50855368,38.31,45.37,3382.4,3407.7
10.1443,49388.0,1161760.0,1.15413427,1.09623647,0.05789798,0.00952630,3.23278904,0.49767661,0.50065362,38.98,45.37,4868.6,3451.7
9.7144,54693.0,1216453.0,1.14490247,1.08753645,0.05736598,0.00772362,3.03781199,0.41260266,0.39740694,39.52,45.37,5630.1,3512.8
9.9301,33600.0,1250053.0,1.18542767,1.12817276,0.05725497,0.00903190,2.98399806,0.50032234,0.44103301,38.31,45.37,3383.7,3509.1
9.8850,46124.0,1296177.0,1.12654841,1.06982172,0.05672667,0.00923894,2.83293605,0.46054852,0.35698462,38.65,45.37,4666.0,3540.3
10.0182,61257.0,1357434.0,1.16433835,1.10822475,0.05611360,0.00917577,2.79610252,0.45024332,0.41522023,40.18,45.66,6114.6,3608.9
10.0832,48933.0,1406367.0,1.14789009,1.09203517,0.05585492,0.00803679,2.63853073,0.49125457,0.37126881,38.93,45.66,4852.9,3641.3
9.9044,46774.0,1453141.0,1.10819519,1.05209887,0.05609631,0.00975429,2.64335227,0.46604544,0.34352157,38.71,45.66,4722.6,3668.3
9.7539,37177.0,1490318.0,1.16829646,1.11311567,0.05518080,0.01086200,2.41437006,0.45903137,0.29498395,38.31,45.66,3811.5,3671.7
9.9075,46496.0,1536814.0,1.13297331,1.07801712,0.05495626,0.00867553,2.40924001,0.46343023,0.38608307,38.69,45.66,4693.0,3696.0
10.1516,49467.0,1586281.0,1.13027942,1.07552266,0.05475676,0.00962755,2.37494159,0.49876413,0.30726400,38.99,45.66,4872.8,3724.1
9.9262,33600.0,1619881.0,1.11442840,1.05946553,0.05496273,0.00849565,2.28096747,0.50032234,0.32863066,38.31,45.66,3385.0,3716.3
9.9182,33600.0,1653481.0,1.10857248,1.05390215,0.05467039,0.00782357,2.23851919,0.50032234,0.34537202,38.31,45.66,3387.7,3709.0
9.8457,45452.0,1698933.0,1.12235153,1.06831586,0.05403566,0.00913730,2.17678165,0.45490083,0.27401921,38.58,45.66,4616.4,3728.5
9.9262,33601.0,1732534.0,1.12888062,1.07502949,0.05385114,0.00645485,2.08729744,0.50032312,0.23232292,38.31,45.66,3385.1,3721.2
9.7898,44489.0,1777023.0,1.09930074,1.04545796,0.05384273,0.00871290,2.07552099,0.44882548,0.24934788,38.48,45.66,4544.4,3738.1
9.8110,45131.0,1822154.0,1.12835550,1.07496464,0.05339076,0.00944215,2.10408282,0.45267794,0.29987001,38.55,45.66,4600.0,3755.5
10.1267,49252.0,1871406.0,1.11150348,1.05843937,0.05306411,0.00839246,1.94795930,0.49544382,0.21306552,38.97,45.66,4863.6,3778.1
9.9320,33600.0,1905006.0,1.11760330,1.06458855,0.05301475,0.00617839,1.87562644,0.50032234,0.22056898,38.31,45.66,3383.0,3770.4
10.0256,48180.0,1953186.0,1.10428631,1.05120766,0.05307859,0.00796171,1.88046491,0.48147926,0.23174758,38.86,45.66,4805.7,3790.5
10.0079,47772.0,2000958.0,1.09579420,1.04299080,0.05280335,0.00729448,1.84940386,0.47660527,0.30634972,38.81,45.66,4773.4,3809.2
9.8050,58322.0,2059280.0,1.10715592,1.05486190,0.05229411,0.00830948,1.85703850,0.41804379,0.52475941,39.88,45.66,5948.2,3848.3
