time,text_tokens,total_consumed_tokens,total_loss,reduced_llm_loss,reduced_balancing_loss,loss,maxvio,efficient_attn_ratio,grad_norm,max_memory_GB,reserved_memory_GB,tgs,e2e_tgs
98.3072,43414.0,43414.0,1.29817474,1.22302914,0.07514563,0.00821047,5.20268345,0.39964283,2.25238347,33.06,36.15,441.6,437.7
14.2067,48470.0,91884.0,1.29334474,1.21445858,0.07888600,0.00923151,5.81703329,0.48511818,2.28349400,36.04,39.22,3411.8,810.3
8.8401,33600.0,125484.0,1.26461267,1.18400025,0.08061229,0.00837101,6.06287861,0.50032234,2.36030436,34.60,39.22,3800.9,1026.5
9.3969,49435.0,174919.0,1.30236208,1.22354031,0.07882175,0.01031636,5.86779022,0.49836093,2.24609399,36.17,39.32,5260.8,1328.8
8.7817,47503.0,222422.0,1.28835583,1.20994878,0.07840705,0.01185118,5.76902151,0.47368973,2.12985778,35.98,39.32,5409.3,1583.9
8.9208,48278.0,270700.0,1.30024230,1.22220409,0.07803826,0.00980860,5.73023748,0.48268417,1.85776830,36.06,39.32,5411.8,1812.5
8.8044,33600.0,304300.0,1.28460729,1.20505595,0.07955123,0.00880585,5.93857002,0.50032234,1.82193649,34.60,39.32,3816.3,1924.1
8.8965,37356.0,341656.0,1.25524008,1.17660809,0.07863200,0.01086679,5.80554771,0.45086047,1.48681378,34.97,39.32,4199.0,2045.2
8.8505,33600.0,375256.0,1.22846353,1.14981031,0.07865319,0.00899455,5.82578421,0.50032234,1.36679029,34.60,39.32,3796.4,2133.2
8.8301,41409.0,416665.0,1.23378599,1.15755367,0.07623232,0.01097072,5.48269224,0.44098440,1.14912045,35.37,39.32,4689.5,2255.4
8.7385,56984.0,473649.0,1.22909272,1.15589595,0.07319669,0.00837101,5.38757324,0.40927818,2.21466041,36.94,40.39,6521.0,2448.0
8.4091,43538.0,517187.0,1.20833027,1.13605559,0.07227473,0.00815471,5.26546860,0.44451818,2.01313496,35.58,40.39,5177.5,2561.6
8.8089,33601.0,550788.0,1.21040463,1.13752222,0.07288241,0.00684473,5.35393333,0.50032312,1.91840899,34.60,40.39,3814.4,2614.0
8.4862,45526.0,596314.0,1.18150294,1.11166286,0.06984005,0.00966461,5.06610489,0.45334092,1.63416588,35.78,40.39,5364.7,2720.4
8.3925,43199.0,639513.0,1.19659138,1.12918198,0.06740923,0.01202583,4.76489925,0.44338056,1.71203506,35.54,40.39,5147.4,2809.9
8.7110,48571.0,688084.0,1.19030917,1.12442541,0.06588372,0.01041152,4.63355255,0.48642305,1.67713475,36.09,40.39,5575.9,2911.8
8.5875,33600.0,721684.0,1.15758574,1.09179306,0.06579273,0.00706147,4.60435772,0.50032234,1.27205276,34.60,40.39,3912.6,2946.8
8.2799,36222.0,757906.0,1.18486953,1.12133396,0.06353574,0.00879803,4.32952213,0.46772161,0.86666036,34.85,40.39,4374.7,2993.5
8.5818,33600.0,791506.0,1.16846704,1.10535824,0.06310871,0.00886361,4.19632912,0.50032234,0.96084154,34.60,40.39,3915.3,3023.7
8.6670,48098.0,839604.0,1.13390183,1.07192719,0.06197453,0.00663772,4.00272655,0.48047823,0.79652894,36.04,40.39,5549.6,3104.6
20.9301,54269.0,893873.0,1.15055180,1.08939886,0.06115299,0.00706074,3.86271238,0.39884126,0.69379210,36.66,40.39,2592.9,3067.8
8.1016,46365.0,940238.0,1.15885925,1.09851706,0.06034215,0.00913480,3.58182478,0.38663226,0.63390326,35.86,40.39,5722.9,3139.6
8.5580,46880.0,987118.0,1.13768923,1.07781398,0.05987538,0.00822687,3.61688328,0.46707398,0.65628672,35.91,40.39,5477.9,3204.5
8.6048,33600.0,1020718.0,1.14891183,1.08929670,0.05961511,0.01010988,3.52133894,0.50032234,0.58923596,34.60,40.39,3904.8,3223.5
8.8905,58059.0,1078777.0,1.15802681,1.09942830,0.05859851,0.00921139,3.36526299,0.43216294,0.52203178,37.05,40.49,6530.4,3313.8
8.5762,33595.0,1112372.0,1.15319824,1.09506941,0.05812878,0.01243741,3.21025705,0.50031847,0.50432724,34.60,40.49,3917.2,3329.2
8.5896,49388.0,1161760.0,1.15572810,1.09822261,0.05750552,0.00953506,3.06332779,0.49767661,0.47290957,36.17,40.49,5749.7,3389.9
8.3514,54693.0,1216453.0,1.14683998,1.08987045,0.05696955,0.00775158,2.86446357,0.41260266,0.40767038,36.71,40.49,6549.0,3465.0
8.5999,33600.0,1250053.0,1.18736637,1.13054276,0.05682360,0.00906373,2.79367900,0.50032234,0.44018412,34.60,40.49,3907.0,3475.5
8.3135,46124.0,1296177.0,1.12830389,1.07202196,0.05628192,0.00924842,2.63619876,0.46054852,0.35511732,35.84,40.49,5548.1,3522.3
8.8636,61257.0,1357434.0,1.16606593,1.11043441,0.05563152,0.00919473,2.57695985,0.45024332,0.40595198,37.37,40.78,6911.0,3602.0
9.0158,48933.0,1406367.0,1.14959407,1.09422648,0.05536764,0.00804065,2.41395974,0.49125457,0.37069374,36.12,40.78,5427.4,3644.6
8.3807,46774.0,1453141.0,1.10968363,1.05409896,0.05558474,0.00976971,2.41871643,0.46604544,0.32866821,35.90,40.78,5581.2,3685.7
8.2245,37177.0,1490318.0,1.17006528,1.11535847,0.05470673,0.01086975,2.19193554,0.45903137,0.29984498,34.95,40.78,4520.3,3702.7
